forecast_lag_min,top_percent,top_percent_label,channel_name,channel_short_name,importance_total,importance_share_total,importance_mag,importance_phase,importance_share_mag,importance_share_phase,importance_total_norm_by_window_feature_count,importance_share_total_norm_by_window_feature_count,importance_mag_norm_by_window_feature_count,importance_phase_norm_by_window_feature_count,importance_share_mag_norm_by_window_feature_count,importance_share_phase_norm_by_window_feature_count,feature_count_total,feature_count_mag,feature_count_phase,unmatched_feature_count,val_css,test_css
5,0.05,5%,p3_flux_ic,p3,0.9547174831111328,0.9547174831111328,0.9422722603221976,0.01244522278893506,0.9837824478160604,0.2949490830588212,0.012659307260163682,0.5712051925776265,0.012462234598349666,0.00019707266181401926,0.857499927577533,0.02583125863522127,242,227,15,0,0.8539325842696629,0.8602150537634409
5,0.05,5%,p5_flux_ic,p5,0.011586621760423712,0.011586621760423712,0.007009848481965602,0.004576773278458109,0.007318655327972577,0.10846853485415561,0.001852689095861851,0.08359585639558559,0.0009160383543421247,0.0009366507415197263,0.06303065604387163,0.12277130339824066,18,12,6,0,0.8539325842696629,0.8602150537634409
5,0.05,5%,p7_flux_ic,p7,0.026061499525014888,0.026061499525014888,0.007748729665545545,0.01831276985946934,0.008090086654178605,0.4340086770579937,0.0038332571376290298,0.17296178507248272,0.0007676050267482552,0.003065652110880775,0.05281727363180478,0.40182972023032765,25,8,17,0,0.8539325842696629,0.8602150537634409
5,0.05,5%,long,long_xray,0.007634395603429437,0.007634395603429437,0.000774682876994591,0.006859712726434845,0.0008088102017885256,0.16257370502902949,0.0038171978017147185,0.17223716595430483,0.0003873414384972955,0.0034298563632174225,0.026652142746790636,0.4495677177362104,8,2,6,0,0.8539325842696629,0.8602150537634409
5,0.1,10%,p3_flux_ic,p3,0.9373792056874479,0.9373792056874479,0.9206876305587164,0.016691575128731886,0.975571427087286,0.29669638032775547,0.009227614947689746,0.7326287945464947,0.009043929450562569,0.0001836854971271788,0.8953889747930575,0.0736316931001965,366,309,57,0,0.8539325842696629,0.8404255319148937
5,0.1,10%,p5_flux_ic,p5,0.023666061883543907,0.023666061883543907,0.012091960528529866,0.011574101355014021,0.01281278339966651,0.20573217033712754,0.0010072063764167468,0.07996740193396226,0.0005374307244704914,0.00046977565194625536,0.05320801627615419,0.18831305231518616,95,55,40,0,0.8539325842696629,0.8404255319148937
5,0.1,10%,p7_flux_ic,p7,0.02701785327103202,0.02701785327103202,0.00848488609633653,0.01853296717469549,0.008990684965163327,0.32942752466783004,0.0013397721180638414,0.10637154209277677,0.00036464363129295026,0.0009751284867708914,0.036101330618838794,0.39088748210459257,74,31,43,0,0.8539325842696629,0.8404255319148937
5,0.1,10%,long,long_xray,0.011936879157975701,0.011936879157975701,0.0024774211493425466,0.009459458008633155,0.0026251045478841105,0.16814392466728698,0.0010206185074251599,0.0810322614267669,0.0001545555094203175,0.0008660629980048422,0.015301678311949741,0.3471677724800247,50,18,32,0,0.8539325842696629,0.8404255319148937
5,0.15,15%,p3_flux_ic,p3,0.9274785975656191,0.9274785975656191,0.9124620578077117,0.01501653975790739,0.9708618787068484,0.2496409368483806,0.00772696562165103,0.7960481926631335,0.007593942788677519,0.00013302283297351105,0.9162523243793622,0.09376996804820087,454,363,91,0,0.8539325842696629,0.8387096774193549
5,0.15,15%,p5_flux_ic,p5,0.026794691703491278,0.026794691703491278,0.011529041466524809,0.015265650236966462,0.012266928539222855,0.25378224865347265,0.0006200191016187214,0.06387566729651663,0.000265877146416009,0.00035414195520271227,0.03207958766376813,0.24964044954972825,173,87,86,0,0.8539325842696629,0.8387096774193549
